TADA.CharacteristicName,Target.TADA.CharacteristicName,TADA.CharacteristicNameAssumptions,TADA.ResultSampleFractionText,Target.TADA.ResultSampleFractionText,TADA.FractionAssumptions,TADA.MethodSpeciationName,Target.TADA.MethodSpeciationName,TADA.SpeciationAssumptions,Target.TADA.SpeciationConversionFactor,HarmonizationGroup
SOLUBLE REACTIVE PHOSPHORUS (SRP),ORTHOPHOSPHATE,,TOTAL,FILTERED,,,AS P,Assumes AS P,,Phosphorus
SPECIFIC CONDUCTANCE,CONDUCTIVITY,,TOTAL,,Assumes fraction is NA for CONDUCTIVITY. Harmonizing to NA.,,,,,CONDUCTIVITY
SPECIFIC CONDUCTANCE,CONDUCTIVITY,,,,,,,,,CONDUCTIVITY
STREAM FLOW,,,,,Assumes fraction is NA for STREAM FLOW. Harmonizing to NA.,,,,,STREAM FLOW
"STREAM FLOW, INSTANTANEOUS",STREAM FLOW,,,,,,,,,STREAM FLOW
SULFATE,,,DISSOLVED,FILTERED,,AS SO4,,,,SULFATE
SULFATE,,,DISSOLVED,FILTERED,,,AS SO4,Assumes AS SO4,,SULFATE
SULFATE,,,"FILTERED, LAB",FILTERED,,,AS SO4,Assumes AS SO4,,SULFATE
SULFATE,,,TOTAL,UNFILTERED,,AS SO4,,,,SULFATE
SULFATE,,,TOTAL,UNFILTERED,,,AS SO4,Assumes AS SO4,,SULFATE
SULFATE,,,TOTAL RECOVERABLE,UNFILTERED,,,AS SO4,Assumes AS SO4,,SULFATE
SUSPENDED SEDIMENT CONCENTRATION (SSC),TOTAL SUSPENDED SOLIDS,,SUSPENDED,NON-FILTERABLE (PARTICLE),,,,,,TOTAL SUSPENDED SOLIDS
SUSPENDED SEDIMENT CONCENTRATION (SSC),TOTAL SUSPENDED SOLIDS,,TOTAL,NON-FILTERABLE (PARTICLE),,,,,,TOTAL SUSPENDED SOLIDS
"TEMPERATURE, WATER",TEMPERATURE,,NONE,,Assumes fraction is NA for TEMPERATURE. Harmonizing to NA.,,,,,TEMPERATURE
"TEMPERATURE, WATER",TEMPERATURE,,TOTAL,,Assumes fraction is NA for TEMPERATURE. Harmonizing to NA.,,,,,TEMPERATURE
"TEMPERATURE, WATER",TEMPERATURE,,"UNFILTERED, FIELD",,Assumes fraction is NA for TEMPERATURE. Harmonizing to NA.,,,,,TEMPERATURE
"TEMPERATURE, WATER",TEMPERATURE,,,,,,,,,TEMPERATURE
TOTAL DISSOLVED SOLIDS,,,DISSOLVED,FILTERED,,,,,,TOTAL DISSOLVED SOLIDS
TOTAL DISSOLVED SOLIDS,,,TOTAL,FILTERED,,,,,,TOTAL DISSOLVED SOLIDS
TOTAL DISSOLVED SOLIDS,,,,FILTERED,,,,,,TOTAL DISSOLVED SOLIDS
TOTAL KJELDAHL NITROGEN,TOTAL KJELDAHL NITROGEN (ORGANIC N & NH3),Assumes TOTAL KJELDAHL NITROGEN is synonymous to TOTAL KJELDAHL NITROGEN (ORGANIC N & NH3).,UNFILTERED,,,AS N,,,,Nitrogen
TOTAL KJELDAHL NITROGEN (ORGANIC N & NH3),,,DISSOLVED,FILTERED,,,AS N,Assumes AS N,,Nitrogen
TOTAL KJELDAHL NITROGEN (ORGANIC N & NH3),,,TOTAL,UNFILTERED,"Assumes TOTAL KJELDAHL NITROGEN (ORGANIC N & NH3), TOTAL is synonymous to TOTAL KJELDAHL NITROGEN (ORGANIC N & NH3), UNFILTERED.",AS N,,,,Nitrogen
TOTAL KJELDAHL NITROGEN (ORGANIC N & NH3),,,TOTAL,UNFILTERED,"Assumes TOTAL KJELDAHL NITROGEN (ORGANIC N & NH3), TOTAL is synonymous to TOTAL KJELDAHL NITROGEN (ORGANIC N & NH3), UNFILTERED.",,AS N,Assumes AS N,,Nitrogen
TOTAL KJELDAHL NITROGEN (ORGANIC N & NH3),,,UNFILTERED,,,AS N,,,,Nitrogen
"TOTAL NITROGEN, MIXED FORMS",,,TOTAL,UNFILTERED,"Assumes TOTAL NITROGEN, MIXED FORMS, TOTAL is synonymous to TOTAL NITROGEN, MIXED FORMS, UNFILTERED.",AS N,,,,Nitrogen
